Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Fungus,Cronartium quercuum f. sp. fusiforme,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Cronartium quercuum,Yes,No
Fungus,Cryphonectria parasitica,Absent,4.0,5.0,60.0,Regulated quarantine pest (Great Britain). Northern Ireland: Regulated pest free area pest. Regulated non quarantine pest,2.0,5.0,30.0,Pest is introduced,Cryphonectria parasitica,Yes,No
Fungus,Cryptocline taxicola,Present (Limited),2.0,3.0,18.0,,2.0,3.0,18.0,Pest spreads to maximum extent,Cryptocline taxicola,No,Yes
Virus or Viroid,Cucumber mosaic virus,Present (Widespread),,,,,,,,,Cucumber mosaic,No,No
Virus or Viroid,Cucumber vein yellowing virus,Absent,4.0,3.0,36.0,Regulated quarantine pest (Great Britain). Pest free area for the vector (NI),3.0,3.0,27.0,Pest is introduced,Cucumber vein,Yes,No
Virus or Viroid,Cucurbit yellow stunting disorder virus,Absent,4.0,3.0,36.0,Regulated quarantine pest (Great Britain). Protected Zone for vector Bemisia tabaci (NI),3.0,3.0,27.0,Pest is introduced,Cucurbit yellow,Yes,No
Bacterium,Curtobacterium flaccumfaciens pv. flaccumfaciens,Absent,2.0,3.0,12.0,,2.0,3.0,12.0,Pest is introduced,Curtobacterium flaccumfaciens,Yes,No
Bacterium,Curtobacterium flaccumfaciens pv. poinsettiae,Absent,3.0,2.0,18.0,,2.0,2.0,12.0,Pest is introduced,Curtobacterium flaccumfaciens,No,No
Fungus,Davidsoniella virescens,Absent,2.0,3.0,6.0,Regulated quarantine pest,2.0,3.0,6.0,Pest is introduced,Davidsoniella virescens,Yes,No
Fungus,Dematophora necatrix,Present (Widespread),,,,,,,,,Dematophora necatrix,No,No
Fungus,Diaporthe amygdali,Absent,3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Diaporthe amygdali,No,No
Fungus,Diaporthe caulivora,Absent,1.0,2.0,2.0,Regulated non quarantine pest (Northern Ireland),1.0,2.0,2.0,Pest is introduced,Diaporthe caulivora,No,No
Fungus,Diaporthe chamaeropis,Absent,3.0,2.0,12.0,,4.0,2.0,12.0,Pest is introduced,Diaporthe chamaeropis,No,No
Fungus,Diaporthe strumella,Present (Widespread),,,,,,,,,Diaporthe strumella,No,No
Bacterium,Dickeya dianthicola,Present (Limited),5.0,4.0,100.0,Regulated non quarantine pest.  Statutory Certification,2.0,2.0,20.0,Pest spreads to maximum extent,Dickeya dianthicola,No,No
Bacterium,Dickeya solani,Absent,5.0,4.0,100.0,Regulated non quarantine pest (as Dickeya spp.),3.0,3.0,45.0,Pest is introduced,Dickeya solani,No,No
Fungus,Diplocarpon mali ,Absent,3.0,3.0,36.0,,3.0,3.0,36.0,Pest is introduced,Diplocarpon mali,No,No
Fungus,Diplodia corticola,Absent,2.0,2.0,20.0,,2.0,2.0,20.0,Pest is introduced,Diplodia corticola,No,No
Fungus,Diplodia quercivora,Absent,2.0,2.0,20.0,,2.0,2.0,20.0,Pest is introduced,Diplodia quercivora,No,No
Fungus,Dothistroma pini,Absent,3.0,3.0,45.0,Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest,2.0,3.0,30.0,Pest is introduced,Dothistroma pini,Yes,No
Fungus,Dothistroma septosporum,Present (Limited),3.0,5.0,75.0,Regulated non quarantine pest,2.0,5.0,50.0,Pest spreads to maximum extent,Dothistroma septosporum,No,No
Virus or Viroid,Eggplant mottled dwarf nucleorhabdovirus ,Absent,3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Eggplant mottled,No,No
Fungus,Elsinoe australis,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Elsinoe australis,Yes,No
Fungus,Elsinoe coryli,Absent,4.0,2.0,8.0,,4.0,2.0,8.0,Pest is introduced,Elsinoe coryli,No,No
Fungus,Elsinoe fawcettii,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Elsinoe fawcettii,Yes,No
Fungus,Elsino� citricola,Present,,,1.0,Regulated quarantine pest (Northern Ireland). ,,,1.0,Pest is introduced,Elsino� citricola,Yes,No
Fungus,Entoleuca mammata,Present (Limited),3.0,4.0,36.0,Regulated protected zone quarantine pest (Northern Ireland),2.0,4.0,24.0,Pest spreads to maximum extent,Entoleuca mammata,No,No
Bacterium,Erwinia amylovora,Present (Widespread),5.0,2.0,40.0,Regulated non quarantine pest.,2.0,2.0,16.0,Pest spreads to maximum extent,Erwinia amylovora,No,No
Bacterium,Erwinia pyrifoliae ,Absent,4.0,3.0,60.0,,3.0,3.0,45.0,Pest is introduced,Erwinia pyrifoliae,No,No
Fungus,Erysiphe euphorbiicola,Absent,3.0,2.0,18.0,,2.0,2.0,12.0,Pest is introduced,Erysiphe euphorbiicola,No,No
Virus or Viroid,Euphorbia mosaic virus,Absent,3.0,3.0,9.0,Regulated quarantine pest (as a Begomovirus),2.0,3.0,6.0,Pest is introduced,Euphorbia mosaic,Yes,No
Virus or Viroid,European mountain ash ringspot associated virus,Present (Unknown Distribution),2.0,3.0,24.0,,2.0,3.0,24.0,Pest spreads to maximum extent,European mountain,No,No
Fungus,Eutypella parasitica,Absent,3.0,2.0,30.0,,3.0,2.0,30.0,Pest is introduced,Eutypella parasitica,No,Yes
Fungus,Exobasidium vaccinii,Present (Widespread),,,,Regulated non quarantine pest,,,,,Exobasidium vaccinii,No,No
Virus or Viroid,Fig mosaic agent,Present (Unknown Distribution),,,,Regulated non quarantine pest (Northern Ireland),,,,,Fig mosaic,No,No
Virus or Viroid,Fig mosaic virus,Present (Unknown Distribution),2.0,1.0,2.0,,2.0,1.0,2.0,Pest spreads to maximum extent,Fig mosaic,No,No
Fungus,Fusarium agapanthi,Present (Unknown Distribution),4.0,2.0,8.0,,4.0,2.0,8.0,Pest spreads to maximum extent,Fusarium agapanthi,No,No
Fungus,Fusarium circinatum,Absent,2.0,3.0,30.0,Regulated quarantine pest. ,2.0,3.0,30.0,Pest is introduced,Fusarium circinatum,Yes,No
Fungus,Fusarium euwallaceae (Neocosmospora euwallaceae),Absent,,,,Provisional quarantine pest (Great Britain); regulated quarantine pest (Northern Ireland),,,,,Fusarium euwallaceae,Yes,No
Fungus,Fusarium foetens,Absent,5.0,4.0,40.0,,3.0,4.0,24.0,Pest is introduced,Fusarium foetens,No,No
Fungus,Fusarium miscanthi,Present (Unknown Distribution),5.0,1.0,5.0,,5.0,1.0,5.0,Pest spreads to maximum extent,Fusarium miscanthi,No,No
Fungus,Fusarium oxysporum f. sp. albedinis,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Fusarium oxysporum,Yes,No
Fungus,Fusarium oxysporum f. sp. basilici,Absent,4.0,3.0,12.0,,3.0,3.0,9.0,Pest is introduced,Fusarium oxysporum,No,No
Fungus,Fusarium oxysporum f. sp. cubense ,Unknown,3.0,2.0,6.0,,2.0,2.0,4.0,Pest is introduced,Fusarium oxysporum,No,No
Fungus,Fusarium oxysporum f. sp. lactucae,Present (Limited),4.0,5.0,80.0,,3.0,4.0,48.0,Pest spreads to maximum extent,Fusarium oxysporum,No,No
Fungus,Geosmithia morbida,Absent,4.0,4.0,16.0,Regulated quarantine pest,2.0,4.0,8.0,Pest is introduced with vector or finds vector,Geosmithia morbida,Yes,No
Fungus,Gibberella fujikuroi (only for Bakanae disease of rice on Oryza),Absent,,,,Regulated non quarantine pest (Northern Ireland),,,,,Gibberella fujikuroi,No,No
Fungus,Glomerella gossypii,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Glomerella gossypii,No,No
Fungus,Gnomoniopsis idaeicola,Present,4.0,2.0,24.0,,4.0,2.0,24.0,Pest spreads to maximum extent,Gnomoniopsis idaeicola,No,No
Fungus,Gnomoniopsis smithogilvyi,Present (Unknown Distribution),3.0,4.0,36.0,,3.0,4.0,36.0,Pest spreads to maximum extent,Gnomoniopsis smithogilvyi,No,No
Fungus,Godronia cassandrae,Present (Limited),,,,,,,,,Godronia cassandrae,No,No
Virus or Viroid,Gooseberry vein banding associated virus,Present (Unknown Distribution),,,,,,,,,Gooseberry vein,No,No
Virus or Viroid,Grapevine Pinot gris virus,Present (Unknown Distribution),3.0,2.0,12.0,,3.0,2.0,12.0,Pest is introduced,Grapevine Pinot,No,No
Virus or Viroid,Grapevine Syrah virus 1,Absent,4.0,1.0,8.0,,4.0,1.0,8.0,Pest is introduced,Grapevine Syrah,No,No
Virus or Viroid,Grapevine ajinashika virus,Absent,3.0,2.0,12.0,Regulated quarantine pest (NI; as non-European viruses; viroids and phytoplasmas of  Cydonia; Fragaria; Malus; Prunus; Pyrus and Vitis) and Vitis prohibition,1.0,2.0,4.0,Pest is introduced,Grapevine ajinashika,Yes,No
Virus or Viroid,Grapevine berry inner necrosis trichovirus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Grapevine berry,Yes,No
Virus or Viroid,Grapevine fanleaf virus,Present (Limited),3.0,2.0,12.0,Regulated non quarantine pest,2.0,2.0,8.0,Pest spreads to maximum extent,Grapevine fanleaf,No,No
Virus or Viroid,Grapevine fleck virus,Present (Limited),,,,,,,,,Grapevine fleck,No,No
Virus or Viroid,Grapevine leaf roll-associated virus 1,Present (Limited),,,,,,,,,Grapevine leaf,No,No
Virus or Viroid,Grapevine leaf roll-associated virus 3,Present (Unknown Distribution),3.0,3.0,27.0,RNQP,2.0,3.0,18.0,,Grapevine leaf,No,No
Virus or Viroid,Grapevine red blotch-associated virus,Absent,3.0,3.0,18.0,Vine prohibition. Regulated quarantine pest (Northern Ireland). ,1.0,3.0,6.0,Pest is introduced,Grapevine red,Yes,No
Virus or Viroid,Grapevine roditis leaf discoloration-associated virus,Absent,3.0,1.0,6.0,,3.0,1.0,6.0,Pest is introduced,Grapevine roditis,No,No
Virus or Viroid,Grapevine stunt agent,Absent,3.0,3.0,18.0,Prohibition of Vitis from non-EU other than Switzerland,1.0,3.0,6.0,Pest is introduced,Grapevine stunt,No,No
Virus or Viroid,Grapevine vein clearing virus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Grapevine vein,Yes,No
Fungus,Gremmeniella abietina,Present,3.0,5.0,75.0,,2.0,5.0,50.0,Pest spreads to maximum extent,Gremmeniella abietina,No,No
Fungus,Grosmannia wageneri,Absent,3.0,5.0,75.0,Prohibition of conifers,1.0,5.0,25.0,Pest is introduced,Grosmannia wageneri,No,No
Virus or Viroid,Groundnut bud necrosis virus,Absent,4.0,3.0,48.0,Provisional quarantine pest (Great Britain). Regulation of main vector (Thrips palmi); which is absent from the UK,3.0,3.0,36.0,Pest is introduced with vector or finds vector,Groundnut bud,No,No
Virus or Viroid,Groundnut ringspot virus,Absent,4.0,3.0,48.0,Provisional quarantine pest (Great Britain).,3.0,3.0,36.0,Pest is introduced,Groundnut ringspot,No,No
Fungus,Gymnosporangium asiaticum,Absent,3.0,2.0,12.0,Regulated quarantine pest (as Gymnosporangium spp.),1.0,2.0,4.0,Pest is introduced,Gymnosporangium asiaticum,Yes,No
Fungus,Gymnosporangium clavipes,Absent,3.0,4.0,48.0,Regulated quarantine pest (as Gymnosporangium spp.),2.0,4.0,32.0,Pest is introduced,Gymnosporangium clavipes,Yes,No
Fungus,Gymnosporangium globosum,Absent,3.0,3.0,36.0,Regulated quarantine pest (as Gymnosporangium spp.),2.0,3.0,24.0,Pest is introduced,Gymnosporangium globosum,Yes,No
Fungus,Gymnosporangium juniperi-virginianae,Absent,3.0,3.0,36.0,Regulated quarantine pest  (as Gymnosporangium spp.),1.0,3.0,12.0,Pest is introduced,Gymnosporangium juniperi-virginianae,Yes,No
Fungus,Gymnosporangium libocedri,Absent,3.0,3.0,36.0,Regulated quarantine pest (as Gymnosporangium spp.),2.0,3.0,24.0,Pest is introduced,Gymnosporangium libocedri,Yes,No
Fungus,Gymnosporangium monticola,Absent,1.0,1.0,1.0,Regulated quarantine pest (as Gymnosporangium spp.),1.0,1.0,1.0,Pest is introduced,Gymnosporangium monticola,Yes,No
Fungus,Gymnosporangium tremelloides,Absent,4.0,1.0,16.0,,4.0,1.0,16.0,Pest is introduced,Gymnosporangium tremelloides,No,No
Fungus,Gymnosporangium yamadae,Absent,3.0,3.0,36.0,Regulated quarantine pest (as Gymnosporangium spp.). The import of both Malus and Juniperus are already restricted from outside Europe. However; the bonsai derogations permit some juniper import.,1.0,3.0,12.0,Pest is introduced,Gymnosporangium yamadae,Yes,No
Fungus,Helicobasidium purpureum,Present (Widespread),,,,,,,,,Helicobasidium purpureum,No,No
Fungus,Heterobasidion abietinum,Absent,2.0,2.0,8.0,,2.0,2.0,8.0,Pest is introduced,Heterobasidion abietinum,No,No
Fungus,Heterobasidion insulare species complex,Absent,2.0,1.0,10.0,,2.0,1.0,10.0,Pest is introduced,Heterobasidion insulare,No,No
Fungus,Heterobasidion irregulare,Absent,3.0,5.0,75.0,Provisional quarantine pest (Great Britain). Prohibibition of many coniferous hosts,3.0,4.0,60.0,Pest is introduced,Heterobasidion irregulare,No,No
Fungus,Heterobasidion occidentale,Absent,2.0,3.0,30.0,Conifer prohibitions. Provisional quarantine pest (Great Britain).,1.0,3.0,15.0,Pest is introduced,Heterobasidion occidentale,No,No
Fungus,Heterobasidion parviporum,Absent,2.0,4.0,40.0,,2.0,4.0,40.0,Pest is introduced,Heterobasidion parviporum,No,No
Virus or Viroid,Hop stunt viroid,Absent,4.0,4.0,48.0,Regulated non quarantine pest (Northern Ireland),3.0,4.0,36.0,Pest is introduced,Hop stunt,No,No
Virus or Viroid,Hosta virus X,Present (Limited),2.0,3.0,12.0,,2.0,3.0,12.0,Pest spreads to maximum extent,Hosta virus,No,No
Fungus,Hymenoscyphus albidoides,Absent,2.0,1.0,2.0,,2.0,1.0,2.0,Pest is introduced,Hymenoscyphus albidoides,No,No
Fungus,Hymenoscyphus fraxineus,Present (Widespread),4.0,5.0,100.0,Prohibition on Fraxinus from outside Europe,4.0,4.0,80.0,Pest spreads to maximum extent,Hymenoscyphus fraxineus,No,No
Virus or Viroid,Impatiens necrotic spot virus,Present (Widespread),3.0,3.0,45.0,Regulated non quarantine pest,2.0,3.0,30.0,Pest spreads to maximum extent,Impatiens necrotic,No,No
Virus or Viroid,Iresine viroid 1,Unknown,4.0,1.0,4.0,,4.0,1.0,4.0,Pest is introduced,Iresine viroid,No,No
Virus or Viroid,Iris yellow spot virus,Absent,5.0,2.0,40.0,,5.0,2.0,40.0,Pest is introduced,Iris yellow,No,No
Fungus,Kabatiella zeae,Present (Limited),2.0,3.0,18.0,,2.0,3.0,18.0,Pest spreads to maximum extent,Kabatiella zeae,No,No
Fungus,Lecanosticta acicola,Absent,4.0,3.0,60.0,Regulated quarantine pest (Great Britain.) Northern Ireland: Regulated non quarantine pest,3.0,3.0,45.0,Pest is introduced,Lecanosticta acicola,Yes,No
Virus or Viroid,Leek yellow stripe virus,Unknown,3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Leek yellow,No,No
Virus or Viroid,Lettuce infectious yellows virus,Absent,3.0,3.0,36.0,Regulated quarantine pest,2.0,3.0,24.0,Pest is introduced,Lettuce infectious,Yes,No
Fungus,Leveillula clavata,Absent,4.0,2.0,24.0,,2.0,2.0,12.0,Pest is introduced,Leveillula clavata,No,No
Fungus,Leveillula taurica,Present (Limited),3.0,3.0,27.0,,3.0,3.0,27.0,Pest spreads to maximum extent,Leveillula taurica,No,No
Virus or Viroid,Little cherry virus 1,Present (Limited),2.0,3.0,12.0,Regulated non quarantine pest,2.0,3.0,12.0,Pest spreads to maximum extent,Little cherry,No,No
Virus or Viroid,Little cherry virus 2,Present (Limited),2.0,4.0,16.0,Regulated non quarantine pest,2.0,4.0,16.0,Pest spreads to maximum extent,Little cherry,No,No
Bacterium,Lonsdalea populi,Absent,4.0,4.0,64.0,,4.0,4.0,64.0,Pest is introduced,Lonsdalea populi,No,No
Bacterium,Lonsdalea quercina,Absent,2.0,3.0,30.0,Populus is a temporarily prohibited host. Measures on wood. ,1.0,3.0,15.0,Pest is introduced with vector or finds vector,Lonsdalea quercina,No,No
Fungus,Melampsora farlowii,Absent,2.0,4.0,8.0,Regulated quarantine pest,1.0,4.0,4.0,Pest is introduced,Melampsora farlowii,Yes,No
Fungus,Melampsora medusae,Absent,4.0,3.0,36.0,Regulated quarantine pest,2.0,3.0,18.0,Pest is introduced,Melampsora medusae,Yes,No
Fungus,Melampsoridium hiratsukanum,Present (Limited),4.0,3.0,36.0,,4.0,3.0,36.0,Pest spreads to maximum extent,Melampsoridium hiratsukanum,No,No
Virus or Viroid,Melon yellowing-associated virus,Absent,1.0,2.0,2.0,Regulated quarantine pest. Measures against Bemisia tabaci.,1.0,2.0,2.0,Pest is introduced,Melon yellowing-associated,Yes,No
Fungus,Microsphaera grossulariae,Present (Widespread),,,,,,,,,Microsphaera grossulariae,No,No
Virus or Viroid,Mint vein banding-associated virus,Absent,3.0,2.0,6.0,,3.0,2.0,6.0,Pest is introduced,Mint vein,No,No
Fungus,Monilinia fructicola,Absent,4.0,2.0,24.0,,4.0,2.0,24.0,Pest is introduced,Monilinia fructicola,No,No
Fungus,Monilinia polystroma,Absent,4.0,2.0,32.0,,4.0,2.0,32.0,Pest is introduced,Monilinia polystroma,No,No
Fungus,Mycodiella laricis-leptolepidis,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Mycodiella laricis-leptolepidis,Yes,No
Virus or Viroid,Myrobalan latent ringspot virus,Absent,,,,,,,,,Myrobalan latent,No,No
Fungus,Neocosmospora ambrosia,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Neocosmospora ambrosia,Yes,No
Fungus,Neofabraea malicorticis,Present (Widespread),,,,,,,,,Neofabraea malicorticis,No,No
Fungus,Neofabraea vagabunda,Present (Unknown Distribution),,,,,,,,,Neofabraea vagabunda,No,No
Fungus,Neofusicoccum australe,Present (Unknown Distribution),3.0,2.0,30.0,,3.0,2.0,30.0,Pest spreads to maximum extent,Neofusicoccum australe,No,No
Fungus,Neofusicoccum luteum,Absent,5.0,2.0,50.0,,5.0,2.0,50.0,Pest is introduced,Neofusicoccum luteum,No,No
Fungus,Neofusicoccum parvum,Present (Unknown Distribution),3.0,2.0,30.0,,3.0,2.0,30.0,Pest spreads to maximum extent,Neofusicoccum parvum,No,No
Fungus,Neonectria ditissima,Present (Widespread),,,,,,,,,Neonectria ditissima,No,No
Fungus,Neonectria neomacrospora,Present (Unknown Distribution),4.0,3.0,36.0,,4.0,3.0,36.0,Pest spreads to maximum extent,Neonectria neomacrospora,No,No
Other,Non-native terrestrial slugs and snails,Absent,,,,,,,,Pest is introduced,Non-native terrestrial,No,No
Virus or Viroid,Olive leaf yellowing- associated virus,Absent,4.0,2.0,16.0,OLYaV is an RNQP with 0% tolerance on Olea europaea fruit propagating material or plants intended for fruit propagation.,4.0,2.0,16.0,Pest is introduced,Olive leaf,No,No
Virus or Viroid,Olive vein yellowing associated virus,Absent,4.0,2.0,16.0,Regulated non quarantine pest (Northern Ireland),4.0,2.0,16.0,Pest is introduced,Olive vein,No,No
Virus or Viroid,Olive yellow mottling and decline associated virus,Absent,3.0,2.0,12.0,Regulated non quarantine pest,3.0,2.0,12.0,Pest is introduced,Olive yellow,No,No
Virus or Viroid,Onion yellow dwarf virus,Present (Limited),,,,,,,,,Onion yellow,No,No
Fungus,Ophiognomonia clavigignenti-juglandacearum,Absent,3.0,5.0,15.0,Juglans is a high risk host; temporarily prohibited,1.0,5.0,5.0,Pest is introduced,Ophiognomonia clavigignenti-juglandacearum,No,No
Fungus,Ophiostoma novo-ulmi,Present (Widespread),4.0,4.0,48.0,UK General Powers / Dutch Elm Disease (Local Authorities) Order 1984,3.0,4.0,36.0,Pest spreads to maximum extent,Ophiostoma novo-ulmi,No,Yes
Other,Ovachlamys fulgens,Absent,3.0,2.0,6.0,,3.0,2.0,6.0,Pest is introduced,Ovachlamys fulgens,No,No
Bacterium,Pantoea stewartii subsp. stewartii,Absent,2.0,2.0,12.0,Regulated quarantine pest,2.0,2.0,12.0,Pest is introduced,Pantoea stewartii,Yes,No
Virus or Viroid,Passiflora chlorosis virus ,Present (Unknown Distribution),4.0,2.0,8.0,,4.0,2.0,8.0,Pest spreads to maximum extent,Passiflora chlorosis,No,No
Virus or Viroid,Pea necrotic yellow dwarf virus,Absent,2.0,3.0,18.0,,2.0,3.0,18.0,Pest is introduced,Pea necrotic,No,Yes
Virus or Viroid,Peach latent mosaic viroid,Absent,,,,,,,,,Peach latent,No,No
Virus or Viroid,Peach mosaic virus,Absent,3.0,1.0,3.0,Regulated quarantine pest,2.0,1.0,2.0,Pest is introduced,Peach mosaic,Yes,No
Virus or Viroid,Peach rosette mosaic virus,Absent,2.0,1.0,2.0,Regulated quarantine pest,2.0,1.0,2.0,Pest is introduced,Peach rosette,Yes,No
Phytoplasma,Peach rosette phytoplasma,Absent,2.0,2.0,4.0,Regulated quarantine pest (as viruses; viroids and phytoplasmas of Cydonia; Fragaria; Malus; Prunus; Pyrus; Ribes; Rubus and Vitis). ,2.0,2.0,4.0,Pest is introduced,Peach rosette,No,No
Phytoplasma,Peach yellows phytoplasma,Absent,2.0,2.0,4.0,Regulated quarantine pest (as viruses; viroids and phytoplasmas of Cydonia; Fragaria; Malus; Prunus; Pyrus; Ribes; Rubus and Vitis). ,2.0,2.0,4.0,Pest is introduced,Peach yellows,No,No
Virus or Viroid,Pear bark necrosis agent,Absent,,,,,,,,,Pear bark,No,No
Virus or Viroid,Pear bark split agent,Absent,,,,,,,,,Pear bark,No,No
Virus or Viroid,Pear blister canker viroid,Present (Limited),,,,,,,,,Pear blister,No,No
Virus or Viroid,Pear rough bark agent,,,,,,,,,,Pear rough,No,No
Bacterium,Pectobacterium aroidearum ,Absent,3.0,2.0,30.0,prohibition on import of seed tubers from current range of pest. ,2.0,2.0,20.0,Pest is introduced,Pectobacterium aroidearum,No,No
Virus or Viroid,Pepino mosaic virus,Present (Limited),4.0,3.0,36.0,Regulated non quarantine pest. ,3.0,3.0,27.0,Pest spreads to maximum extent,Pepino mosaic,No,No
Virus or Viroid,Pepper chat fruit viroid,Absent,3.0,3.0,36.0,Regulated quarantine pest (Great Britain),3.0,3.0,36.0,Pest is introduced,Pepper chat,Yes,No
Virus or Viroid,Pepper mild tigre virus,Absent,3.0,3.0,27.0,Regulated quarantine pest (as Begomoviruses),1.0,3.0,9.0,Pest is introduced,Pepper mild,Yes,No
Virus or Viroid,Pepper vein yellows virus ,Absent,4.0,3.0,36.0,Prohibition on solanaceous planting material,4.0,3.0,36.0,Pest is introduced,Pepper vein,No,No
Oomycete,Peronospora belbahrii,Present (Unknown Distribution),2.0,1.0,4.0,,2.0,1.0,4.0,Pest spreads to maximum extent,Peronospora belbahrii,No,No
Fungus,Peronospora sparsa (synonym Peronospora rubi),Present (Widespread),,,,,,,,,Peronospora sparsa,No,No
Fungus,Petrakia liobae,Absent,4.0,2.0,40.0,,4.0,2.0,40.0,Pest is introduced,Petrakia liobae,No,No
Fungus,Phacidiopycnis washingtonensis,Present (Unknown Distribution),4.0,2.0,24.0,,4.0,2.0,24.0,Pest spreads to maximum extent,Phacidiopycnis washingtonensis,No,No
Fungus,Phaeoacremonium viticola ,Unknown,4.0,2.0,16.0,,4.0,2.0,16.0,Pest is introduced,Phaeoacremonium viticola,No,No
Fungus,Phellinus everhartii,Absent,3.0,2.0,30.0,There are extensive requirements for the import of woodchip from USA. There are also specific measures against Quercus woodchip. ,2.0,2.0,20.0,Pest is introduced,Phellinus everhartii,No,No
Fungus,Phellinus spiculosus ,Absent,3.0,2.0,30.0,Extensive requirements on the import of woodchips from North America. ,2.0,2.0,20.0,Pest is introduced,Phellinus spiculosus,No,No
Fungus,Phialophora cinerescens,Present (Limited),2.0,3.0,6.0,,2.0,2.0,4.0,Pest spreads to maximum extent,Phialophora cinerescens,No,No
Fungus,Phoma commelinicola,Absent,3.0,2.0,6.0,,3.0,2.0,6.0,Pest is introduced,Phoma commelinicola,No,No
Fungus,Phomopsis phaseoli,Absent,2.0,3.0,18.0,,2.0,3.0,18.0,Pest is introduced,Phomopsis phaseoli,No,No
Fungus,Phomopsis vaccinii,Absent,4.0,3.0,36.0,Regulated quarantine pest (Great Britain.) Northern Ireland: Regulated non quarantine pest,2.0,3.0,18.0,Pest is introduced,Phomopsis vaccinii,Yes,No
Fungus,Phyllachora maydis and Microdochium maydis,Absent,2.0,4.0,24.0,,1.0,4.0,12.0,Pest is introduced,Phyllachora maydis,No,No
Fungus,Phyllosticta citricarpa,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Phyllosticta citricarpa,Yes,No
Fungus,Phyllosticta solitaria,Absent,3.0,2.0,24.0,Regulated quarantine pest,2.0,2.0,16.0,Pest is introduced,Phyllosticta solitaria,Yes,No
Fungus,Phymatotrichopsis omnivora,Absent,1.0,2.0,10.0,Regulated quarantine pest,1.0,2.0,10.0,Pest is introduced,Phymatotrichopsis omnivora,Yes,No
Oomycete,Phytophthora acerina,Absent,2.0,3.0,30.0,,2.0,3.0,30.0,Pest is introduced,Phytophthora acerina,No,No
Oomycete,Phytophthora alni,Present (Widespread),4.0,4.0,48.0,,4.0,4.0,48.0,Pest spreads to maximum extent,Phytophthora alni,No,Yes
Oomycete,Phytophthora austrocedri,Present (Limited),4.0,4.0,48.0,Regulated non quarantine pest (Great Britain),3.0,4.0,36.0,Pest spreads to maximum extent,Phytophthora austrocedri,No,No
Oomycete,Phytophthora bisheria,Unknown,5.0,1.0,25.0,,5.0,1.0,25.0,Pest is introduced,Phytophthora bisheria,No,No
Fungus,Phytophthora cactorum,Present (Widespread),,,,,,,,,Phytophthora cactorum,No,No
Fungus,Phytophthora cambivora,Present (Widespread),,,,,,,,,Phytophthora cambivora,No,No
Oomycete,Phytophthora chrysanthemi,Absent,3.0,2.0,18.0,,3.0,2.0,18.0,Pest is introduced,Phytophthora chrysanthemi,No,No
Fungus,Phytophthora cinnamomi,Present (Widespread),,,,,,,,,Phytophthora cinnamomi,No,No
Oomycete,Phytophthora citrophthora,Present (Unknown Distribution),,,,,,,,,Phytophthora citrophthora,No,No
Fungus,Phytophthora cryptogea,Present (Widespread),,,,,,,,,Phytophthora cryptogea,No,No
Oomycete,Phytophthora foliorum,Absent,3.0,1.0,6.0,,3.0,1.0,6.0,Pest is introduced,Phytophthora foliorum,No,No
Oomycete,Phytophthora fragariae,Present (Widespread),2.0,5.0,50.0,Regulated non quarantine pest,1.0,4.0,20.0,Pest spreads to maximum extent,Phytophthora fragariae,No,No
Oomycete,Phytophthora fragariaefolia ,Absent,3.0,3.0,45.0,,2.0,3.0,30.0,Pest is introduced,Phytophthora fragariaefolia,No,No
Oomycete,Phytophthora kernoviae,Present (Limited),4.0,5.0,100.0,Provisional quarantine pest (Great Britain),2.0,4.0,40.0,Pest spreads to maximum extent,Phytophthora kernoviae,No,No
Oomycete,Phytophthora lateralis,Present (Limited),5.0,3.0,30.0,Regulated non quarantine pest (Great Britain),4.0,3.0,24.0,Pest spreads to maximum extent,Phytophthora lateralis,No,No
Oomycete,Phytophthora nicotianae var. parasitica,Present (Widespread),,,,,,,,,Phytophthora nicotianae,No,No
Oomycete,Phytophthora pinifolia,Absent,3.0,4.0,60.0,Conifer prohibitons from outside Europe,1.0,4.0,20.0,Pest is introduced,Phytophthora pinifolia,No,No
